,id,car_brand,car_model,car_year,car_mileage,car_price,car_color,car_cylinderVolume,car_driveMode,car_fuel,car_gear,verified,car_address,car_title,car_photo,dealer_name,dealer_address,sunroof,TPMS,SRS,keyless,ESP,ABS,cruise_sys,HID_head,isofix,electric_seat,auto_AC,navi_sys,IVI_sys,leather_seat,parking_radar,parking_camera,BSM,LDW,source
853,235599,TOYOTA,CAMRY HYBRID,2012,259458,228000,鐵灰,2500,2.0,油電,自排,1,台南市,誠實買賣  大家歡喜,https://www.hotcar.com.tw/UPLOAD/CW/HE1029/2588102.jpg,誠大汽車,台南市仁德區民安路一段51-1號,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,HOT
854,235596,SUZUKI,CARRY,2017,49214,345000,白,1600,2.0,汽油,手排,1,台中市,2017年6月 吉利 冷凍車 10公分 -5度 跑4.9萬 車美 好開 歡迎賞車,https://www.hotcar.com.tw/UPLOAD/CW/HD1031/2588038.jpg,尚安汽車,台中市潭子區崇德路四段488號 (雅潭路口二段),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOT
855,235594,HONDA,HR-V,2018,63398,648000,深藍,1800,2.0,汽油,手自排,1,台南市,誠實買賣  大家歡喜,https://www.hotcar.com.tw/UPLOAD/CW/HE1029/2588037.jpg,誠大汽車,台南市仁德區民安路一段51-1號,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,HOT
856,235592,MITSUBISHI,OUTLANDER,2009,146309,208000,銀,2400,2.0,汽油,手自排,1,台南市,誠實買賣  大家歡喜,https://www.hotcar.com.tw/UPLOAD/CW/HE1029/2588016.jpg,誠大汽車,台南市仁德區民安路一段51-1號,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,HOT
857,235590,NISSAN,LIVINA,2010,140113,248000,銀,1800,2.0,汽油,自排,1,台南市,誠實買賣  大家歡喜,https://www.hotcar.com.tw/UPLOAD/CW/HE1029/2587996.jpg,誠大汽車,台南市仁德區民安路一段51-1號,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,HOT
858,235578,FORD,FOCUS 五門,2016,126863,558000,,1500,2.0,汽油,自排,1,台南市,＊０元交車＊低月付＊低利率＊全額貸＊信用小白＊信用瑕疵可辦,https://www.hotcar.com.tw/UPLOAD/CW/HE1027/2587980.jpg,冠立汽車,台南市永康區永大路二段1588號,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,HOT
859,235576,TOYOTA,ALTIS,2012,118305,338000,黑,1800,2.0,汽油,自排,1,台南市,＊０元交車＊低月付＊低利率＊全額貸＊信用小白＊信用瑕疵可辦,https://www.hotcar.com.tw/UPLOAD/CW/HE1027/2587965.jpg,冠立汽車,台南市永康區永大路二段1588號,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,HOT
860,235573,TOYOTA,ALTIS,2016,109605,530000,白,1800,2.0,,手自排,1,台中市,2016 Altis S+版 改Z式樣,https://www.hotcar.com.tw/UPLOAD/CW/HD1108/2587956.jpg,日競汽車,台中市霧峰區中投東路二段302號,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOT
861,235565,TOYOTA,YARIS,2013,122419,318000,白,1500,2.0,汽油,自排,1,嘉義縣,2013年TOYOTA YARIS G版 白色 1500c.c. 里程保證,https://www.hotcar.com.tw/UPLOAD/CW/HE2023/2587873.jpg,車美汽車,嘉義縣水上鄉下寮村中山路二段1037號(晶華傢俱正對面),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOT
862,235563,HONDA,HR-V,2017,124566,628000,白,1800,2.0,汽油,自排,1,桃園市,2017 HRV 標準版！外觀內裝漂亮 四顆新胎～,https://www.hotcar.com.tw/UPLOAD/CW/HC1069/2587848.jpg,頂尖汽車,桃園市中壢區普忠路362號(環中東路口、中油對面),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOT
863,235560,TOYOTA,ALTIS,2019,73262,658000,白,1800,2.0,汽油,自排,1,桃園市,2019 內外超美神A Altis豪華版！無任何待修 車況極綿～～～,https://www.hotcar.com.tw/UPLOAD/CW/HC1069/2587827.jpg,頂尖汽車,桃園市中壢區普忠路362號(環中東路口、中油對面),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOT
864,235557,NISSAN,KICKS,2021,8,728000,白,1500,2.0,汽油,自排,1,高雄市,全新中獎車 智行旗艦版 六安 盲點 免鑰匙 LED頭燈 主動煞停 車道偏離警示,https://www.hotcar.com.tw/UPLOAD/CW/HF1027/2587732.jpg,立安汽車,高雄市三民區金山路171號,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,HOT
865,235556,HONDA,FIT,2015,97063,398000,深藍,1500,2.0,汽油,自排,1,高雄市,2015 FIT 1.5S四安 定速 藍芽 導航 換檔撥片 循跡防滑 安卓大螢幕,https://www.hotcar.com.tw/UPLOAD/CW/HF1027/2587714.jpg,立安汽車,高雄市三民區金山路171號,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,HOT
866,235549,HONDA,CR-V,2018,41937,885000,白,1500,2.0,,手自排,1,嘉義縣,"S版.跑4萬公里原廠保養.電尾門.盲點.超級便宜!! 指名找林經理才有,享優惠.",https://www.hotcar.com.tw/UPLOAD/CW/HE2010/2587592.jpg,順久汽車,嘉義縣太保市麻太路2號,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOT
867,235545,SUZUKI,VITARA,2016,104928,488000,白,1600,2.0,汽油,手自排,1,台南市,2016年SUZUKI VITARA零元購車〃免頭期款〃可全額貸款〃超貸拿現,https://www.hotcar.com.tw/UPLOAD/CW/HE1042/2587545.jpg,三立國際,台南市永康區永大路三段65號,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,HOT
868,235541,MAZDA,MAZDA 3,2014,80967,335000,鐵灰,1600,2.0,汽油,手自排,1,嘉義縣,"跑8萬多公里.原廠保養.超級便宜!! 指名找林經理才有,享優惠.再贈送行車紀錄器",https://www.hotcar.com.tw/UPLOAD/CW/HE2010/2587478.jpg,順久汽車,嘉義縣太保市麻太路2號,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOT
869,235537,TOYOTA,ALTIS,2015,92579,428000,銀,1800,2.0,汽油,手自排,1,台南市,嚴選好車 Safety+版 國民神車 僅跑9萬2 IKEY/循跡/定速/螢幕,https://www.hotcar.com.tw/UPLOAD/CW/HE1040/2596410.jpg,永二車酷,台南市永康區中正北路930號,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,HOT
870,235534,HONDA,HR-V,2018,58784,648000,黑,1800,2.0,汽油,手自排,1,新北市,2018 HONDA HR-V 1.8 S,https://www.hotcar.com.tw/UPLOAD/CW/HA1055/2587391.jpg,以琳國際車業,新北市瑞芳區過港巷1-1號,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,HOT
871,235512,TOYOTA,RAV4,2015,59626,658000,黑,2000,2.0,汽油,手自排,1,新北市,RAV-4認證休旅車豪華款七安恆溫導航倒車I-KEY抬頭顯示等僅跑5萬,https://www.hotcar.com.tw/UPLOAD/CW/HA1057/2587024.jpg,勝禾田汽車有限公司,新北市新店區安康路一段248號,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,HOT
872,235507,MITSUBISHI,FORTIS,2016,146056,358000,鐵灰,1800,2.0,,手自排,1,桃園市,代步好幫手 省油省稅沒毛病 ,https://www.hotcar.com.tw/UPLOAD/CW/HC1142/2586944.jpg,圓帥汽車,桃園市八德區和強路261號,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,HOT
873,235505,TOYOTA,CAMRY,2018,69507,598000,黑,2000,2.0,汽油,自排,1,屏東縣,ikey 豪華版 9顆安全氣囊 原版件 里程保證 全台最低價 送全新安卓機 ,https://www.hotcar.com.tw/UPLOAD/CW/HF2009/2597505.jpg,嘉億汽車,屏東縣屏東市忠孝路523號旁邊,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,HOT
874,235501,MITSUBISHI,COLT PLUS,2012,96804,198000,鐵灰,1600,2.0,汽油,自排,1,台中市,~實車實價 ~【泰洋】Colt I-Key 大螢幕 認證車 可全貸 免頭款,https://www.hotcar.com.tw/UPLOAD/CW/HD1018/2586852.jpg,泰洋汽車商行,台中市大甲區經國路2185號,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,HOT
875,235495,FORD,ESCAPE,2011,165295,228000,銀,2300,2.0,汽油,自排,1,新北市,2011 FORD ESCAPE 2.3 2WD XLS,https://www.hotcar.com.tw/UPLOAD/CW/HA1055/2586715.jpg,以琳國際車業,新北市瑞芳區過港巷1-1號,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,HOT
876,235493,TOYOTA,CAMRY,2017,66450,630000,黑,2000,2.0,汽油,手自排,1,新北市,2017 TOYOTA CAMRY 2.0,https://www.hotcar.com.tw/UPLOAD/CW/HA1055/2586677.jpg,以琳國際車業,新北市瑞芳區過港巷1-1號,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,HOT
877,235481,HONDA,FIT,2011,185580,268000,白,1500,2.0,,自排,1,台南市,最夯本田1.5小車,https://www.hotcar.com.tw/UPLOAD/CW/HE1038/2586475.jpg,同一汽車,台南市安南區台江大道一段977號,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HOT
878,235480,SUZUKI,JIMNY,2021,13,868000,鐵灰,1500,4.0,,自排,1,花蓮縣,2021 全新 Jimny 水泥灰 Apple Carplay,https://www.hotcar.com.tw/UPLOAD/CW/HH1009/2586463.jpg,富豐汽車,花蓮縣玉里鎮中城里001鄰興國路一段67-2號,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,HOT
879,235470,MITSUBISHI,ZINGER,2014,74418,238000,銀,2400,2.0,汽油,自排,1,彰化縣,賺錢好伙伴,https://www.hotcar.com.tw/UPLOAD/CW/HD2018/2586302.jpg,安心汽車,彰化縣永靖鄉中山路三段153號(三大有線電視隔壁),0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,HOT
880,235458,HYUNDAI,STAREX,2015,195216,728000,黑,2500,2.0,,自排,1,苗栗縣,空間大 舒適,https://www.hotcar.com.tw/UPLOAD/CW/HC3011/2586128.jpg,賀成車業,苗栗縣頭份鎮中央路888號,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,HOT
881,235454,FORD,MUSTANG,2017,57056,1288000,紅,2300,2.0,汽油,自排,1,台南市,超帥氣野馬跑車 總代理 無改裝,https://www.hotcar.com.tw/UPLOAD/CW/HE1038/2586088.jpg,同一汽車,台南市安南區台江大道一段977號,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,HOT
882,235450,TOYOTA,CAMRY,2015,106090,538000,黑,2000,2.0,,手自排,1,台中市,2015 Camry 2.0 經典版,https://www.hotcar.com.tw/UPLOAD/CW/HD1108/2586023.jpg,日競汽車,台中市霧峰區中投東路二段302號,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOT
883,235448,TOYOTA,ALTIS,2021,10,648000,白,1800,2.0,汽油,手自排,1,彰化縣,全新車，豪華版現在只要64.8萬，僅此一台!,https://www.hotcar.com.tw/UPLOAD/CW/HD2021/2586008.jpg,新永隆汽車,彰化縣和美鎮彰美路四段139號,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,HOT
884,235446,TOYOTA,C-HR,2019,24924,768000,銀,1200,2.0,汽油,手自排,1,彰化縣,僅跑兩萬五，一手車，內外如新，新車保固中~,https://www.hotcar.com.tw/UPLOAD/CW/HD2021/2585983.jpg,新永隆汽車,彰化縣和美鎮彰美路四段139號,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,HOT
885,235445,TOYOTA,RAV4,2017,67368,698000,白,2000,2.0,汽油,手自排,1,桃園市,2017年 TOYOTA RAV4 豪華版 LED頭燈,https://www.hotcar.com.tw/UPLOAD/CW/HC1150/2585955.jpg,安心汽車,桃園市桃園區富國路229號,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,HOT
