,car_brand,car_model,car_year,car_mileage,car_price,source
263,MITSUBISHI,ZINGER,2018,86217,378000,SUM
264,TOYOTA,RAV4 ,2018,38274,759000,SUM
265,LUXGEN,U6 TURBO ECO HYPER ,2016,102610,458000,SUM
266,TOYOTA,YARIS ,2016,66503,419000,SUM
267,MITSUBISHI,ZINGER,2013,164187,259000,SUM
268,BMW,X5 F15 ,2017,29278,1680000,SUM
269,TOYOTA,WISH ,2016,94117,508000,SUM
270,FORD,KUGA,2020,8957,948000,SUM
271,TOYOTA,ALTIS ,2011,161436,288000,SUM
272,TOYOTA,C-HR,2018,37156,768000,SUM
273,MITSUBISHI,CANTER ,2018,109380,928000,SUM
274,HYUNDAI,ELANTRA ,2012,195447,328000,SUM
275,LUXGEN,U6 TURBO ECO HYPER ,2016,88223,498000,SUM
276,MITSUBISHI,VERYCA 廂車,2018,98009,358000,SUM
277,BENZ,C-CLASS SEDAN W205 ,2017,35102,1269000,SUM
278,FORD,FOCUS ,2011,98790,248000,SUM
279,TOYOTA,CAMRY ,2017,37694,569000,SUM
280,LUXGEN,M7 TURBO ECO HYPER ,2018,14361,629000,SUM
281,TOYOTA,VIOS ,2019,12018,438000,SUM
282,VW,TIGUAN ,2018,68402,859000,SUM
283,NISSAN,iTIIDA ,2020,28627,568000,SUM
284,HONDA,FIT ,2019,55902,519000,SUM
285,HONDA,CIVIC ,2016,143965,429000,SUM
286,MITSUBISHI,LANCER IO ,2013,110000,338000,SUM
287,TOYOTA,RAV4 ,2016,45553,738000,SUM
288,HONDA,CR-V ,2018,55866,888000,SUM
289,NISSAN,SUPER SENTRA ,2014,69854,368000,SUM
290,HYUNDAI,ELANTRA EX ,2016,43710,498000,SUM
291,LUXGEN,U6 GT,2021,4,708000,SUM
292,TOYOTA,C-HR,2017,23090,788000,SUM
293,LUXGEN,M7 TURBO ECO HYPER ,2019,21078,748000,SUM
294,HONDA,FIT,2015,75367,428000,SUM
295,FORD,KUGA,2020,5432,1058000,SUM
297,LUXGEN,M7 TURBO ECO HYPER ,2016,35879,478000,SUM
298,MITSUBISHI,OUTLANDER ,2016,44665,528000,SUM
299,TOYOTA,VIOS ,2018,37407,448000,SUM
300,FORD,MONDEO ,2017,119681,629000,SUM
301,TOYOTA,ALTIS ,2014,134659,418000,SUM
302,NISSAN,KICKS,2020,17750,679000,SUM
303,TOYOTA,ALTIS ,2018,53770,489000,SUM
304,FORD,KUGA ,2019,107211,588000,SUM
305,TOYOTA,SIENTA,2018,48647,548000,SUM
306,FORD,FOCUS 5D,2014,55646,378000,SUM
307,BENZ,B-CLASS W246 ,2018,11008,1098000,SUM
308,VW,GOLF VII,2020,12105,788000,SUM
309,TOYOTA,ALTIS ,2013,162921,328000,SUM
310,MINI,COOPER COUNTRYMAN,2015,66783,788000,SUM
311,HYUNDAI,GRAND STAREX ,2015,95425,688000,SUM
312,FORD,FOCUS 5D ,2020,33211,838000,SUM
313,HONDA,CIVIC,2014,69026,438000,SUM
314,LUXGEN,U5,2018,34436,448000,SUM
315,FORD,KUGA ,2018,35499,718000,SUM
316,BMW,3 SERIES SEDAN F30,2018,38199,1098000,SUM
317,BMW,1 SERIES F20,2018,100158,889000,SUM
318,TOYOTA,YARIS ,2012,91521,268000,SUM
319,TOYOTA,ALTIS ,2013,51232,439000,SUM
320,TOYOTA,WISH ,2013,86218,458000,SUM
321,LUXGEN,U5,2019,32783,488000,SUM
323,MAZDA,MAZDA 3 4D ,2015,137000,518000,SUM
324,NISSAN,SUPER SENTRA ,2017,38686,438000,SUM
325,BENZ,GLC-CLASS COUPE ,2017,58959,1998000,SUM
326,MITSUBISHI,OUTLANDER ,2018,35637,738000,SUM
327,LUXGEN,U6 TURBO ECO HYPER ,2017,75317,469000,SUM
328,NISSAN,X-TRAIL ,2017,78396,618000,SUM
329,MITSUBISHI,OUTLANDER ,2020,5000,899000,SUM
330,LEXUS,RX ,2019,29003,1998000,SUM
331,TOYOTA,ALTIS ,2013,147110,338000,SUM
332,NISSAN,LIVINA,2018,51040,408000,SUM
333,MITSUBISHI,COLT PLUS ,2016,78582,308000,SUM
334,HONDA,CIVIC,2011,130167,378000,SUM
335,MITSUBISHI,LANCER FORTIS ,2009,119800,228000,SUM
336,TOYOTA,ALTIS ,2016,53276,438000,SUM
337,TOYOTA,VIOS ,2018,84549,388000,SUM
338,MAZDA,CX-5 ,2015,119059,578000,SUM
339,TOYOTA,ALTIS ,2018,41481,518000,SUM
340,NISSAN,LIVINA,2017,95015,348000,SUM
341,TOYOTA,ALTIS ,2019,32578,598000,SUM
342,TOYOTA,CAMRY ,2018,62800,588000,SUM
343,FORD,FOCUS 5D ,2018,61755,529000,SUM
344,TOYOTA,CAMRY ,2017,66325,568000,SUM
345,SUBARU,FORESTER ,2013,108552,578000,SUM
347,NISSAN,TIIDA 5D ,2010,106215,268000,SUM
349,MITSUBISHI,ZINGER,2018,78815,408000,SUM
350,MITSUBISHI,SAVRIN ,2013,106377,308000,SUM
351,MITSUBISHI,ZINGER,2020,2956,568000,SUM
352,MAZDA,CX-5 ,2016,47999,658000,SUM
354,TOYOTA,PREVIA ,2015,34222,1069000,SUM
355,VW,TIGUAN ,2018,61017,968000,SUM
356,TOYOTA,SIENTA,2018,67436,538000,SUM
357,MITSUBISHI,COLT PLUS ,2013,120000,238000,SUM
358,NISSAN,X-TRAIL ,2018,22061,599000,SUM
359,MITSUBISHI,OUTLANDER ,2016,65195,578000,SUM
360,BMW,5 SERIES SEDAN F10,2016,107226,1098000,SUM
361,HONDA,CITY ,2018,50435,498000,SUM
362,NISSAN,BIG TIIDA 5D ,2017,64013,488000,SUM
363,HONDA,CR-V ,2017,67659,668000,SUM
364,HONDA,CR-V ,2015,77939,648000,SUM
365,MITSUBISHI,OUTLANDER ,2017,68224,708000,SUM
366,NISSAN,LIVINA,2014,114659,348000,SUM
367,HYUNDAI,IX35,2015,57888,459000,SUM
368,BENZ,C-CLASS SEDAN W204 ,2013,123353,768000,SUM
370,VW,CRAFTER,2015,341961,999000,SUM
371,TOYOTA,RAV4 ,2016,86034,698000,SUM
372,FORD,FOCUS 5D,2014,69105,358000,SUM
373,HONDA,CITY ,2018,109077,398000,SUM
374,NISSAN,X-TRAIL ,2016,62628,568000,SUM
375,BMW,3 SERIES SEDAN F30,2016,68508,1068000,SUM
376,NISSAN,BIG TIIDA 5D ,2016,70000,438000,SUM
377,KIA,PICANTO,2020,10803,538000,SUM
378,LUXGEN,U6 GT,2019,36658,728000,SUM
379,HONDA,FIT ,2019,57919,548000,SUM
380,HONDA,CR-V ,2016,81344,509000,SUM
381,VW,TIGUAN ,2018,61927,988000,SUM
382,LEXUS,IS ,2016,90824,958000,SUM
383,LUXGEN,U6 GT,2018,41250,648000,SUM
384,FORD,ESCORT,2018,62145,418000,SUM
385,LUXGEN,LUXGEN7 MPV 2.2T,2010,102432,229000,SUM
386,MAZDA,MAZDA 3 ,2010,51881,328000,SUM
387,NISSAN,BIG TIIDA 5D ,2016,85261,388000,SUM
388,NISSAN,iTIIDA ,2017,42035,508000,SUM
389,HYUNDAI,ELANTRA EX ,2016,46671,429000,SUM
390,TOYOTA,RAV4 ,2014,103093,628000,SUM
391,BMW,5 SERIES SEDAN G30 ,2017,42097,1399000,SUM
392,HYUNDAI,TUCSON ,2016,93686,559000,SUM
394,NISSAN,TIIDA 5D ,2010,125000,248000,SUM
396,FORD,ESCAPE ,2012,157600,268000,SUM
398,HYUNDAI,SONATA ,2015,85605,499000,SUM
399,HYUNDAI,GRAND STAREX ,2015,94568,688000,SUM
400,HYUNDAI,SUPER ELANTRA ,2017,39126,468000,SUM
401,TOYOTA,VIOS ,2018,59820,398000,SUM
402,VW,GOLF VII,2016,75000,998000,SUM
403,BENZ,C-CLASS SEDAN W205 ,2016,140359,999000,SUM
404,LUXGEN,U6 GT,2019,37826,648000,SUM
405,MAZDA,MAZDA 3 5D,2019,28613,788000,SUM
406,MITSUBISHI,LANCER IO ,2012,148000,268000,SUM
407,NISSAN,LIVINA,2014,144800,298000,SUM
408,MITSUBISHI,LANCER IO ,2014,77000,348000,SUM
409,HYUNDAI,ELANTRA ,2014,125453,338000,SUM
410,HYUNDAI,ELANTRA EX ,2017,47800,439000,SUM
411,LUXGEN,U7 TURBO ,2013,171881,269000,SUM
412,HYUNDAI,KONA,2019,25127,689000,SUM
413,MITSUBISHI,OUTLANDER ,2011,82123,348000,SUM
414,BMW,3 SERIES SEDAN F30,2017,67676,1068000,SUM
415,TOYOTA,ALTIS ,2018,60614,558000,SUM
416,SKODA,OCTAVIA COMBI ,2015,84675,559000,SUM
417,MITSUBISHI,LANCER FORTIS ,2009,81326,268000,SUM
418,TOYOTA,WISH ,2016,90267,508000,SUM
420,HYUNDAI,I30 HATCHBACK,2010,186789,248000,SUM
422,TOYOTA,VIOS ,2016,89256,398000,SUM
423,HYUNDAI,VERNA,2015,82444,289000,SUM
424,NISSAN,BIG TIIDA 5D ,2013,138177,358000,SUM
425,HYUNDAI,VERNA,2016,78495,308000,SUM
426,NISSAN,KICKS,2020,7674,688000,SUM
427,MITSUBISHI,NEW CANTER,2017,98989,858000,SUM
