,car_brand,car_model,car_year,car_mileage,car_price,source
13405,SUZUKI,JIMNY,2005,182758,218000,SUM
13406,TOYOTA,PREVIA,2012,150000,698000,SUM
13407,FORD,FOCUS ,2005,207340,138000,SUM
13408,TOYOTA,FT86 ,2012,160000,678000,SUM
13409,BMW,1 SERIES F20,2014,130000,608000,SUM
13410,SUZUKI,SX4 5D,2006,196423,165000,SUM
13411,TOYOTA,YARIS ,2007,150000,188000,SUM
13412,SUZUKI,G.VITARA,2007,180063,188000,SUM
13413,MITSUBISHI,CANTER02,2010,442738,499000,SUM
13414,MITSUBISHI,VARICA廂車 ,2006,185636,119000,SUM
13415,SKODA,FABIA ,2014,81251,308000,SUM
13416,VW,GOLF V,2007,160000,198000,SUM
13417,FORD,TIERRA LS ,2003,134944,68000,SUM
13418,BENZ,E-CLASS ,1988,213011,99000,SUM
13419,SUZUKI,CARRY,2000,234435,98000,SUM
13420,TOYOTA,CAMRY ,2015,122285,638000,SUM
13421,HONDA,CIVIC,2007,161147,218000,SUM
13422,HYUNDAI,SANTA FE ,2012,227136,388000,SUM
13423,MITSUBISHI,SPACE GEAR ,2007,248337,198000,SUM
13424,VW,TIGUAN ,2014,69000,430000,SUM
13425,MITSUBISHI,VERYCA廂車 ,2001,169815,128000,SUM
13426,MITSUBISHI,VARICA貨車 ,2007,161055,128000,SUM
13427,TOYOTA,ALTIS,2006,268000,118000,SUM
13428,BMW,1 SERIES HATCHBACK E87,2007,150000,298000,SUM
13429,BENZ,E-CLASS W211 ,2008,200000,328000,SUM
13430,BENZ,C-CLASS ESTATE ,2007,110000,688000,SUM
13431,BMW,3 SERIES SEDAN F30 ,2013,170000,858000,SUM
13432,BMW,3 SERIES SEDAN F30 ,2012,140000,838000,SUM
13433,VW,POLO ,2014,36418,265000,SUM
13434,SUZUKI,SOLIO,2004,117690,115000,SUM
13435,TOYOTA,VIOS ,2004,230000,98000,SUM
13436,TOYOTA,CAMRY ,2003,160000,128000,SUM
13437,TOYOTA,CAMRY ,2002,224834,69000,SUM
13438,FORD,PRONTO貨車,2006,197433,128000,SUM
13439,MITSUBISHI,CANTER ,2013,139783,738000,SUM
13440,VW,TOURAN ,2012,88000,398000,SUM
13441,BMW,1 SERIES HATCHBACK E87,2006,1,288000,SUM
13442,VW,GOLF V,2009,101947,288000,SUM
13443,NISSAN,TIIDA 4D,2008,170000,138000,SUM
13444,MITSUBISHI,CANTER ,2007,148016,598000,SUM
13445,NISSAN,MARCH ,2006,180241,88000,SUM
13446,NISSAN,TEANA ,2006,197900,98000,SUM
13447,AUDI,A6 AVANT C7 ,2013,99642,798000,SUM
13448,HONDA,CR-V ,2004,170000,138000,SUM
13449,ISUZU,ELF ,2005,195531,378000,SUM
13450,NISSAN,CABSTAR ,2006,250265,218000,SUM
13451,SUZUKI,SWIFT ,2012,150000,378000,SUM
