,car_brand,car_model,car_year,car_mileage,car_price,car_color,car_door,car_seat,car_cylinderVolumn,car_driveMode,car_gearType,verified,source
105,NISSAN,SUPER SENTRA ,2015,71563.0,378000,灰,4,5,1800,2,自排,1.0,SUM
106,MITSUBISHI,SUPER DELICA,2011,100458.0,258000,綠,5,8,2400,2,手排,1.0,SUM
107,LEXUS,ES ,2015,111731.0,739000,棕,4,5,2500,2,手自排,1.0,SUM
108,LUXGEN,U6 GT,2020,34472.0,608000,黑,5,5,1800,2,手自排,1.0,SUM
109,BMW,2 SERIES ACTIVE TOURER ,2019,13176.0,1098000,白,5,5,1500,2,自手排,1.0,SUM
110,TOYOTA,SIENNA ,2014,99489.0,938000,灰,5,7,3500,2,手自排,1.0,SUM
111,HONDA,HR-V,2018,39726.0,649000,白,5,5,1800,2,手自排,1.0,SUM
112,TOYOTA,WISH ,2016,83443.0,518000,銀,5,7,2000,2,手自排,1.0,SUM
113,NISSAN,LIVINA,2018,40054.0,369000,黑,5,5,1600,2,自排,1.0,SUM
115,NISSAN,KICKS,2018,58435.0,588000,白,5,5,1500,2,自排,1.0,SUM
116,MITSUBISHI,DELICA貨車,2015,23000.0,338000,藍,2,3,2400,2,手排,1.0,SUM
119,HYUNDAI,IX35,2016,53759.0,498000,藍,5,6,2000,2,手自排,1.0,SUM
120,TOYOTA,SIENTA,2018,28587.0,439000,灰,5,5,1500,2,自排,1.0,SUM
