,auto_brand_en,item_kind_name_en,car_year,car_mileage,car_price,car_color,car_door,car_seat,auto_gas_size,car_driveMode,car_fuel,auto_tab_name,verified,source
117,MERCEDES-BENZ,A-CLASS,2013,130000,688000,紅,5,5,2000,2,汽油,自手排,0.0,8891
118,MERCEDES-BENZ,GLE,2020,25000,3680000,白,5,7,3000,4,汽油,手自排,0.0,8891
119,NISSAN,MURANO,2012,150000,338000,棕,5,5,3500,4,汽油,手自排,0.0,8891
120,MERCEDES-BENZ,CLS SHOOTING BRAKE,2014,54000,1790000,白,5,5,4700,4,汽油,手自排,0.0,8891
121,MERCEDES-BENZ,A-CLASS,2020,14000,1850000,白,5,5,2000,4,汽油,手自排,0.0,8891
122,BMW,3-SERIES SEDAN,2018,100,2028000,白,4,4,2000,4,汽油,手自排,0.0,8891
123,AUDI,A5 SPORTBACK,2017,62000,1580000,藍,4,5,2000,4,汽油,自手排,0.0,8891
124,BMW,5-SERIES SEDAN,2013,129000,780000,黑,4,5,2000,2,汽油,手自排,0.0,8891
125,PORSCHE,CAYENNE,2015,58000,1638000,黑,4,5,3600,4,汽油,手自排,0.0,8891
126,PORSCHE,CAYENNE,2013,103000,1350000,白,4,5,3600,4,汽油,手自排,0.0,8891
127,VOLKSWAGEN,TIGUAN ALLSPACE,2019,28000,1450000,黑,4,7,2000,4,汽油,自手排,0.0,8891
128,MERCEDES-BENZ,GLC,2020,8000,2520000,黑,5,5,2000,4,汽油,手自排,0.0,8891
129,BMW,5-SERIES SEDAN,2015,75000,968000,黑,4,5,2000,2,汽油,手自排,0.0,8891
130,PORSCHE,718 CAYMAN,2017,39000,2680000,白,2,2,2000,2,汽油,自手排,0.0,8891
131,TOYOTA,ALPHARD,2016,50000,0,黑,5,7,3500,2,汽油,手自排,0.0,8891
132,MERCEDES-BENZ,E-CLASS SEDAN,2018,39000,0,黑,4,5,2000,2,汽油,自排,0.0,8891
133,MERCEDES-BENZ,E-CLASS SEDAN,2018,24000,0,白,4,5,2000,2,汽油,自排,0.0,8891
134,MERCEDES-BENZ,B-CLASS,2019,25000,0,白,5,5,1300,2,汽油,手自排,0.0,8891
135,MERCEDES-BENZ,S-CLASS SEDAN,2017,25000,0,白,4,5,3000,2,汽油,手自排,0.0,8891
136,MERCEDES-BENZ,G-CLASS,2003,80000,0,銀,3,5,3200,4,汽油,手自排,0.0,8891
137,MERCEDES-BENZ,C-CLASS ESTATE,2018,65000,0,灰,5,5,2000,2,汽油,手自排,0.0,8891
138,MERCEDES-BENZ,C-CLASS SEDAN,2016,42000,0,白,4,5,3000,4,汽油,自手排,0.0,8891
139,BMW,M5,2011,38000,0,銀,4,5,4400,2,汽油,自手排,0.0,8891
140,BENTLEY,FLYING SPUR,2015,27000,0,灰,4,5,4000,4,汽油,手自排,0.0,8891
141,MERCEDES-BENZ,G-CLASS,2016,79000,0,黑,5,5,5500,4,汽油,手自排,0.0,8891
142,MERCEDES-BENZ,S-CLASS SEDAN,2017,18000,0,黑,4,5,4000,4,汽油,手自排,0.0,8891
143,MERCEDES-BENZ,E-CLASS SEDAN,2017,50000,0,白,4,5,4000,4,汽油,自手排,0.0,8891
144,MERCEDES-BENZ,AMG GT,2015,26000,0,白,2,2,4000,2,汽油,自手排,0.0,8891
145,BMW,2-SERIES ACTIVE TOURER,2015,35000,758000,白,5,4,2000,2,柴油,自手排,0.0,8891
