,id,car_brand,car_model,car_year,car_mileage,car_price,car_color,car_door,car_seat,car_cylinderVolume,car_driveMode,car_fuel,car_gear,verified,car_address,car_title,car_photo,dealer_name,seller_role,dealer_address,sunroof,TPMS,SRS,keyless,theft_alarm,central_lock,ESP,TCS,ABS,cruise_sys,HID_head,LED_head,isofix,electric_seat,auto_AC,navi_sys,IVI_sys,SW_button,leather_seat,parking_radar,parking_camera,BSM,ACC,LDW
52,1290178.0,VOLVO,S60,2020,,1598000.0,藍,,,1969,,,手自排,1,台北市,[R-Design 4WD],https://www.isave.com.tw/public/photo/1290178/800_20210503200457111.jpg,凱騰車業,,台北市承德路七段383號,,,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,
53,1262653.0,NISSAN,ALTIMA,2020,,1088000.0,,,,1997,,,手自排,1,新北市,[興達汽車SAVE 實車實價],https://www.isave.com.tw/public/photo/1262653/800_20210316150327519.jpg,興達汽車,,新北市板橋區文新路2-1號,,,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,
54,1291268.0,BENZ,GLC300 COUPE,2020,,2980000.0,灰,,,1991,,,手自排,1,桃園市,[全新車 21年式GLC300 COUPE],https://www.isave.com.tw/public/photo/1291268/800_20210505142023460.jpg,豐駿汽車龍潭店,,桃園市龍潭區大昌路一段111號,,,0.0,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,
55,1257436.0,PORSCHE,MACAN,2020,,3180000.0,黑,,,1984,,,手自排,1,新北市,[],https://www.isave.com.tw/public/photo/1257436/800_20210308111109426.jpg,豐駿汽車,,新北市三峽區介壽路一段362號,,,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,
56,1237890.0,BENZ,GLB250,2020,,2600000.0,白,,,2000,,,手自排,1,桃園市,[21年式 頂規 未領牌],https://www.isave.com.tw/public/photo/1237890/800_20210124171553285.jpg,鑫瀧汽車,,桃園市蘆竹區中正北路1353-1號,,,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,
57,1237887.0,BENZ,GLB250,2020,,2500000.0,白,,,2000,,,手自排,1,桃園市,[],https://www.isave.com.tw/public/photo/1237887/800_20210124165005252.jpg,鑫瀧汽車,,桃園市蘆竹區中正北路1353-1號,,,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,
58,1237886.0,BENZ,GLB250,2020,,2500000.0,黑,,,2000,,,手自排,1,桃園市,[],https://www.isave.com.tw/public/photo/1237886/800_20210124164826439.jpg,鑫瀧汽車,,桃園市蘆竹區中正北路1353-1號,,,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,
59,1143252.0,HONDA,HR-V,2020,,738000.0,白,,,1799,,,手自排,1,桃園市,[滿滿新車味 只跑1千多公里],https://www.isave.com.tw/public/photo/1143252/800_20200731192927867.jpg,瑞勝汽車,,桃園市桃園區大興西路一段199號(彩虹魚水族館隔壁),,,0.0,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,
60,1320456.0,LUXGEN,URX,2020,16000.0,750000.0,白,,,1800,,,自排,0,台中市,[新車保固中  CP值超高休旅車],https://www.isave.com.tw/public/photo/1320456/800_20210625141044380.JPG,萬通汽車,,台中市西屯區環中路一段2280號,,,0.0,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,
61,1317784.0,AUDI,A1,2020,10000.0,998000.0,藍,,,999,,,手自排,0,桃園市,[2020AUDI A1 30TFSI],https://www.isave.com.tw/public/photo/1317784/800_20210621150934399.jpg,美好關係勁德汽車,,桃園市桃園區經國路32號,,,1.0,,,,,,0.0,,,,,0.0,1.0,,,,,,,,,
