,auto_brand_en,item_kind_name_en,car_year,car_mileage,car_price,source
10445,Nissan,Livina,2009,110000,178000,8891
10446,Toyota,Corolla Altis,2008,200000,268000,8891
10447,Lexus,NX,2015,90000,1088000,8891
10448,Volkswagen,Golf,2008,99000,188000,8891
10449,Mitsubishi,Colt Plus,2016,110000,318000,8891
10450,Toyota,Camry,2009,110000,188000,8891
10451,Ford,Focus,2013,108000,208000,8891
10452,Lexus,CT,2012,120000,588000,8891
10453,Toyota,Previa,2008,130000,500000,8891
10454,Lexus,CT,2013,110000,658000,8891
10455,Volkswagen,Touran,2017,90000,630000,8891
10456,Honda,CR-V,2018,78000,798000,8891
10457,BMW,7-Series,2020,9000,3350000,8891
10458,BMW,1-Series Hatchback,2019,19000,1090000,8891
10459,Toyota,Previa,2015,63000,858000,8891
10460,BMW,1-Series Hatchback,2020,18000,1298000,8891
10461,Infiniti,QX60,2014,80000,768000,8891
10462,Honda,CR-V,2011,150000,368000,8891
10463,Ford,Mondeo,2011,190000,158000,8891
10464,Toyota,Yaris,2017,20000,338000,8891
10465,Mercedes-Benz,S-Class Sedan,2007,150000,368000,8891
10466,Luxgen,7 MPV,2016,89000,438000,8891
10467,Toyota,Vios,2011,98000,108000,8891
10468,Toyota,Camry,2018,20000,638000,8891
10469,Hyundai,Ix35,2013,70000,368000,8891
10470,CMC,Veryca廂車,2004,120000,158000,8891
10471,Nissan,Sentra,2018,110000,448000,8891
10472,Mini,Clubman S,2016,63000,0,8891
10473,Mercedes-Benz,E-Class Sedan,2017,11000,0,8891
10474,Lexus,NX,2016,57000,1188000,8891
10475,Toyota,Wish,2010,250000,278000,8891
10476,Nissan,Sentra,2003,190000,85000,8891
10477,Ford,Kuga,2015,60000,525000,8891
10478,Ford,Focus,2013,70000,368000,8891
10479,Mercedes-Benz,E-Class Sedan,2009,100000,498000,8891
10480,Volkswagen,Golf,2013,130000,438000,8891
10481,Ford,Escape,2011,60000,208000,8891
10482,Toyota,Camry,2017,86000,548000,8891
10483,BMW,3-Series Sedan,2012,68000,569000,8891
10484,Toyota,Innova,2012,169000,228000,8891
10485,Mercedes-Benz,C-Class Sedan,2016,90000,1100000,8891
10486,BMW,5-Series Sedan,2018,10000,1778000,8891
10487,BMW,3-Series Sedan,2020,4790,1880000,8891
10488,Volkswagen,Golf,2018,20000,700000,8891
10489,Nissan,Tiida,2009,200000,158000,8891
10490,Suzuki,Swift,2014,50000,368000,8891
10491,Toyota,Corolla Altis,2018,51000,535000,8891
10492,Nissan,Livina,2015,60000,258000,8891
10493,Hyundai,Tucson,2017,32000,458000,8891
10494,BMW,5-Series GT,2014,80000,1168000,8891
10495,Toyota,Yaris,2009,160000,158000,8891
10496,Lexus,RX,2019,8000,1988000,8891
10497,Skoda,Rapid Spaceback,2018,80000,470000,8891
10498,Skoda,Octavia,2013,130000,318000,8891
10499,BMW,3-Series Sedan,2019,35000,0,8891
10500,Mercedes-Benz,CLA,2015,60000,0,8891
10501,Luxgen,U6 Turbo,2014,47000,368000,8891
10502,Volkswagen,Tiguan,2012,176000,388000,8891
10503,Mazda,5,2016,107000,518000,8891
10504,Volkswagen,Golf GTI,2014,150000,758000,8891
10505,Honda,Civic,2010,130000,238000,8891
10506,Mazda,3,2018,50000,650000,8891
10507,Mitsubishi,Colt Plus,2014,60000,248000,8891
10508,Honda,Civic,2013,90000,388000,8891
10509,Volkswagen,Golf GTI,2015,110000,780000,8891
10510,Mazda,5,2009,190000,238000,8891
10511,Toyota,Corolla Altis,2010,150000,258000,8891
10512,Mercedes-Benz,SLK,2011,48000,930000,8891
10513,Luxgen,U6 Turbo,2014,145000,338000,8891
10514,Lexus,NX,2017,30000,1398000,8891
10515,Honda,Civic,2016,120000,468000,8891
10516,Ford,Escape,2011,100000,198000,8891
10517,Suzuki,Solio,2004,210000,88000,8891
10518,Mercedes-Benz,GLA,2016,30000,990000,8891
10519,BMW,1-Series Hatchback,2015,60000,700000,8891
10520,Audi,A4 Sedan,2016,100000,880000,8891
10521,Nissan,Tiida,2013,84000,248000,8891
10522,Volkswagen,Golf,2013,130000,430000,8891
10523,Toyota,Corolla Altis,2015,330000,268000,8891
10524,BMW,3-Series Touring,2020,5000,2150000,8891
10525,Toyota,Corolla Altis,2017,43000,368000,8891
10526,Porsche,Macan S,2019,18000,0,8891
10527,Nissan,Livina,2009,140000,168000,8891
10528,Toyota,Sienta,2018,30000,410000,8891
10529,Toyota,RAV4,2014,103000,628000,8891
