,car_brand,car_model,car_year,car_mileage,car_price,source
175,BENZ,E-CLASS ESTATE E350 T,2010,60000 ,680000,UsedCar
176,VW,TIGUAN 1.4,2014,65500 ,430000,UsedCar
177,AUDI,A4 1.8,2008,132000 ,360000,UsedCar
178,VW,POLO 1.6,2014,72500 ,290000,UsedCar
179,LEXUS,IS SERIES IS300,2019,65000 ,1290000,UsedCar
180,HYUNDAI,IX35 2.0,2010,80176 ,290000,UsedCar
181,BENZ,GLC-CLASS 43,2018,13081 ,2540000,UsedCar
182,BENZ,E-CLASS E200,2017,82171 ,1390000,UsedCar
183,BENZ,C-CLASS C300,2018,37859 ,1550000,UsedCar
184,BENZ,CLA-CLASS CLA250,2020,5106 ,1990000,UsedCar
185,BMW,4 SERIES GRAN COUPE 428I,2016,60189 ,1290000,UsedCar
186,BENZ,A-CLASS A35,2020,576 ,2360000,UsedCar
187,BENZ,CLA-CLASS CLA250,2020,175 ,1990000,UsedCar
188,BMW,5 SERIES 540,2018,36060 ,2090000,UsedCar
189,BMW,3 SERIES 330,2019,25230 ,1980000,UsedCar
190,MITSUBISHI,OUTLANDER 2.4,2012,100000 ,260000,UsedCar
191,BENZ,E-CLASS COUPE E200 COUPE,2013,120000 ,890000,UsedCar
192,LUXGEN,7 MPV 2.2,2013,70769 ,380000,UsedCar
193,TOYOTA,RAV-4 2.0,2015,22660 ,530000,UsedCar
194,BMW,3 SERIES 316,2014,188000 ,680000,UsedCar
195,VW,GOLF 1.2,2014,89000 ,490000,UsedCar
196,BMW,X2 SERIES SDRIVE,2020,6500 ,1690000,UsedCar
197,SKODA,RAPID 1.4,2014,100000 ,430000,UsedCar
198,BMW,7 SERIES 740,2008,88000 ,350000,UsedCar
199,PORSCHE,MACAN 2.0,2021,110 ,3280000,UsedCar
200,TOYOTA,AURIS 2.0,2021,13 ,780000,UsedCar
201,HONDA,CIVIC 1.8,2007,112000 ,220000,UsedCar
202,BENZ,CLA-CLASS CLA250,2015,88000 ,1070000,UsedCar
203,NISSAN,TIIDA 1.8,2006,153000 ,180000,UsedCar
204,VOLVO,V40 1.6,2013,179000 ,530000,UsedCar
205,HYUNDAI,IX35 2.0,2015,133000 ,410000,UsedCar
206,FORD,FIESTA 1.6,2012,111000 ,250000,UsedCar
207,BMW,4 SERIES CONVERTIBLE 420,2016,150000 ,1150000,UsedCar
208,AUDI,A4 1.8,2014,103000 ,590000,UsedCar
209,AUDI,A3 1.4,2015,114000 ,750000,UsedCar
210,NISSAN,TIIDA 1.6,2015,138000 ,410000,UsedCar
211,MAZDA,CX-5 2.2,2013,132000 ,520000,UsedCar
212,MAZDA,3 1.6,2010,190000 ,280000,UsedCar
